variable_name,length,position,question_name,concept,question_text,universe,note,source,answer_categories_json
ARP_10,1.0,244,ARP_Q10,"Helped primary care receiver, personal care - Indicator - Past 12 mos.","During the past 12 months, have you helped your primary care receiver with personal
care?",2 <= PAR_10 <= 99 and APR_40 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARP_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""752"", ""weighted_frequency"": ""788401"", ""percent"": ""2.6""}, {""variable_name"": ""ARP_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""287"", ""weighted_frequency"": ""280921"", ""percent"": ""0.9""}, {""variable_name"": ""ARP_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""19208"", ""weighted_frequency"": ""29678472"", ""percent"": ""96.5""}, {""variable_name"": ""ARP_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""11"", ""weighted_frequency"": ""7391"", ""percent"": ""0.0""}]"
ARP_20,1.0,245,ARP_Q20,"Helped primary care receiver, personal care - Frequency","How often have you helped your primary care receiver with personal care?/How often
have you helped him/her with these tasks?",APR_40 = 1 and (PAR_10 = 1 or ARP_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARP_20"", ""label"": ""Daily"", ""code"": ""1"", ""frequency"": ""878"", ""weighted_frequency"": ""897840"", ""percent"": ""2.9""}, {""variable_name"": ""ARP_20"", ""label"": ""At least once a week"", ""code"": ""2"", ""frequency"": ""678"", ""weighted_frequency"": ""684995"", ""percent"": ""2.2""}, {""variable_name"": ""ARP_20"", ""label"": ""At least once a month"", ""code"": ""3"", ""frequency"": ""352"", ""weighted_frequency"": ""318877"", ""percent"": ""1.0""}, {""variable_name"": ""ARP_20"", ""label"": ""Less than once a month"", ""code"": ""4"", ""frequency"": ""306"", ""weighted_frequency"": ""273285"", ""percent"": ""0.9""}, {""variable_name"": ""ARP_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18010"", ""weighted_frequency"": ""28548914"", ""percent"": ""92.8""}, {""variable_name"": ""ARP_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""34"", ""weighted_frequency"": ""31272"", ""percent"": ""0.1""}]"
ARP_30,2.0,246,ARP_Q30,"Helped primary care receiver, personal care - Average number of hours","On an average day/In an average week/In an average month/On an average occasion,
how much time have you spent helping him/her with these tasks?","ARP_20 = 1, 2, 3 or 4",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARP_30"", ""label"": ""Less than 1 hour"", ""code"": ""01"", ""frequency"": ""669"", ""weighted_frequency"": ""664944"", ""percent"": ""2.2""}, {""variable_name"": ""ARP_30"", ""label"": ""1 hour to less than 3 hours"", ""code"": ""02"", ""frequency"": ""979"", ""weighted_frequency"": ""968984"", ""percent"": ""3.2""}, {""variable_name"": ""ARP_30"", ""label"": ""3 hours to less than 5 hours"", ""code"": ""03"", ""frequency"": ""293"", ""weighted_frequency"": ""304233"", ""percent"": ""1.0""}, {""variable_name"": ""ARP_30"", ""label"": ""5 hours to less than 10 hours"", ""code"": ""04"", ""frequency"": ""138"", ""weighted_frequency"": ""119293"", ""percent"": ""0.4""}, {""variable_name"": ""ARP_30"", ""label"": ""10 hours to less than 15 hours"", ""code"": ""05"", ""frequency"": ""39"", ""weighted_frequency"": ""35444"", ""percent"": ""0.1""}, {""variable_name"": ""ARP_30"", ""label"": ""15 hours to less than 20 hours"", ""code"": ""06"", ""frequency"": ""24"", ""weighted_frequency"": ""22605"", ""percent"": ""0.1""}, {""variable_name"": ""ARP_30"", ""label"": ""20 hours or more"", ""code"": ""07"", ""frequency"": ""47"", ""weighted_frequency"": ""42672"", ""percent"": ""0.1""}, {""variable_name"": ""ARP_30"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""18044"", ""weighted_frequency"": ""28580187"", ""percent"": ""92.9""}, {""variable_name"": ""ARP_30"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_30"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_30"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""25"", ""weighted_frequency"": ""16823"", ""percent"": ""0.1""}]"
ARP_40,1.0,248,ARP_Q40,Someone else could help with personal care,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",APR_40 = 1 and (PAR_10 = 1 or ARP_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARP_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""1046"", ""weighted_frequency"": ""1160371"", ""percent"": ""3.8""}, {""variable_name"": ""ARP_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1177"", ""weighted_frequency"": ""1012453"", ""percent"": ""3.3""}, {""variable_name"": ""ARP_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18010"", ""weighted_frequency"": ""28548914"", ""percent"": ""92.8""}, {""variable_name"": ""ARP_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARP_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""25"", ""weighted_frequency"": ""33446"", ""percent"": ""0.1""}]"
ARM_10,1.0,249,ARM_Q10,"Helped primary care receiver, medical treatments, past 12 months","During the past 12 months, have you helped your primary care receiver with medical
treatments or procedures?",2 <= PAR_10 <= 99 and APR_50 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARM_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""753"", ""weighted_frequency"": ""783241"", ""percent"": ""2.5""}, {""variable_name"": ""ARM_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""254"", ""weighted_frequency"": ""278652"", ""percent"": ""0.9""}, {""variable_name"": ""ARM_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""19240"", ""weighted_frequency"": ""29673587"", ""percent"": ""96.5""}, {""variable_name"": ""ARM_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""11"", ""weighted_frequency"": ""19705"", ""percent"": ""0.1""}]"
ARM_20,1.0,250,ARM_Q20,"Helped primary care receiver, medical treatment - Frequency","How often have you helped your primary care receiver with medical treatments or pro-
cedures? / How often have you helped him/her with these tasks?",APR_50 = 1 and (PAR_10 = 1 or ARM_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARM_20"", ""label"": ""Daily"", ""code"": ""1"", ""frequency"": ""740"", ""weighted_frequency"": ""739422"", ""percent"": ""2.4""}, {""variable_name"": ""ARM_20"", ""label"": ""At least once a week"", ""code"": ""2"", ""frequency"": ""521"", ""weighted_frequency"": ""530742"", ""percent"": ""1.7""}, {""variable_name"": ""ARM_20"", ""label"": ""At least once a month"", ""code"": ""3"", ""frequency"": ""358"", ""weighted_frequency"": ""348277"", ""percent"": ""1.1""}, {""variable_name"": ""ARM_20"", ""label"": ""Less than once a month"", ""code"": ""4"", ""frequency"": ""346"", ""weighted_frequency"": ""326400"", ""percent"": ""1.1""}, {""variable_name"": ""ARM_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18270"", ""weighted_frequency"": ""28788838"", ""percent"": ""93.6""}, {""variable_name"": ""ARM_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""23"", ""weighted_frequency"": ""21505"", ""percent"": ""0.1""}]"
ARM_30C,1.0,251,,Helped primary care rece. medical treatment - Avg. number of hours,,"ARM_20 = 1, 2, 3 or 4",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARM_30C"", ""label"": ""Less than 1 hour"", ""code"": ""1"", ""frequency"": ""850"", ""weighted_frequency"": ""879003"", ""percent"": ""2.9""}, {""variable_name"": ""ARM_30C"", ""label"": ""1 hour to less than 3 hours"", ""code"": ""2"", ""frequency"": ""728"", ""weighted_frequency"": ""675632"", ""percent"": ""2.2""}, {""variable_name"": ""ARM_30C"", ""label"": ""3 hours to less than 5 hours"", ""code"": ""3"", ""frequency"": ""218"", ""weighted_frequency"": ""229198"", ""percent"": ""0.7""}, {""variable_name"": ""ARM_30C"", ""label"": ""5 hours to less than 10 hours"", ""code"": ""4"", ""frequency"": ""93"", ""weighted_frequency"": ""81713"", ""percent"": ""0.3""}, {""variable_name"": ""ARM_30C"", ""label"": ""10 hours or more"", ""code"": ""5"", ""frequency"": ""66"", ""weighted_frequency"": ""71467"", ""percent"": ""0.2""}, {""variable_name"": ""ARM_30C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18293"", ""weighted_frequency"": ""28810343"", ""percent"": ""93.7""}, {""variable_name"": ""ARM_30C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_30C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_30C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""10"", ""weighted_frequency"": ""7827"", ""percent"": ""0.0""}]"
ARM_40,1.0,252,ARM_Q40,Someone else could help with medical treatment,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",APR_50 = 1 and (PAR_10 = 1 or ARM_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARM_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""907"", ""weighted_frequency"": ""1010961"", ""percent"": ""3.3""}, {""variable_name"": ""ARM_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1062"", ""weighted_frequency"": ""935344"", ""percent"": ""3.0""}, {""variable_name"": ""ARM_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18270"", ""weighted_frequency"": ""28788838"", ""percent"": ""93.6""}, {""variable_name"": ""ARM_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARM_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""19"", ""weighted_frequency"": ""20042"", ""percent"": ""0.1""}]"
ARS_10,1.0,253,ARS_Q10,"Helped primary care receiver, scheduling - Indicator - Past 12 months","During the past 12 months, have you helped your primary care receiver with scheduling
or coordinating care-related tasks?",2 <= PAR_10 <= 99 and APR_60 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARS_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""1225"", ""weighted_frequency"": ""1277823"", ""percent"": ""4.2""}, {""variable_name"": ""ARS_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""270"", ""weighted_frequency"": ""263040"", ""percent"": ""0.9""}, {""variable_name"": ""ARS_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18748"", ""weighted_frequency"": ""29195978"", ""percent"": ""94.9""}, {""variable_name"": ""ARS_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""15"", ""weighted_frequency"": ""18342"", ""percent"": ""0.1""}]"
ARS_20,1.0,254,ARS_Q20,"Helped primary care receiver, scheduling - Frequency","How often have you helped your primary care receiver with scheduling or coordinating
care-related tasks?/How often have you helped him/her with these tasks?",APR_60 = 1 and (PAR_10 = 1 or ARS_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARS_20"", ""label"": ""Daily"", ""code"": ""1"", ""frequency"": ""561"", ""weighted_frequency"": ""535344"", ""percent"": ""1.7""}, {""variable_name"": ""ARS_20"", ""label"": ""At least once a week"", ""code"": ""2"", ""frequency"": ""1032"", ""weighted_frequency"": ""1067823"", ""percent"": ""3.5""}, {""variable_name"": ""ARS_20"", ""label"": ""At least once a month"", ""code"": ""3"", ""frequency"": ""905"", ""weighted_frequency"": ""858980"", ""percent"": ""2.8""}, {""variable_name"": ""ARS_20"", ""label"": ""Less than once a month"", ""code"": ""4"", ""frequency"": ""607"", ""weighted_frequency"": ""568166"", ""percent"": ""1.8""}, {""variable_name"": ""ARS_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17112"", ""weighted_frequency"": ""27689676"", ""percent"": ""90.0""}, {""variable_name"": ""ARS_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""41"", ""weighted_frequency"": ""35196"", ""percent"": ""0.1""}]"
ARS_30C,1.0,255,,"Helped primary care receiver, scheduling - Average number of hours",,"ARS_20 = 1, 2, 3 or 4",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARS_30C"", ""label"": ""Less than 1 hour"", ""code"": ""1"", ""frequency"": ""1223"", ""weighted_frequency"": ""1199305"", ""percent"": ""3.9""}, {""variable_name"": ""ARS_30C"", ""label"": ""1 hour to less than 3 hours"", ""code"": ""2"", ""frequency"": ""1280"", ""weighted_frequency"": ""1289537"", ""percent"": ""4.2""}, {""variable_name"": ""ARS_30C"", ""label"": ""3 hours to less than 5 hours"", ""code"": ""3"", ""frequency"": ""359"", ""weighted_frequency"": ""329663"", ""percent"": ""1.1""}, {""variable_name"": ""ARS_30C"", ""label"": ""5 hours to less than 10 hours"", ""code"": ""4"", ""frequency"": ""133"", ""weighted_frequency"": ""126749"", ""percent"": ""0.4""}, {""variable_name"": ""ARS_30C"", ""label"": ""10 hours or more"", ""code"": ""5"", ""frequency"": ""78"", ""weighted_frequency"": ""65254"", ""percent"": ""0.2""}, {""variable_name"": ""ARS_30C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17153"", ""weighted_frequency"": ""27724872"", ""percent"": ""90.1""}, {""variable_name"": ""ARS_30C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_30C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_30C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""32"", ""weighted_frequency"": ""19805"", ""percent"": ""0.1""}]"
ARS_40,1.0,256,ARS_Q40,Someone else could help with scheduling,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",APR_60 = 1 and (PAR_10 = 1 or ARS_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARS_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""1504"", ""weighted_frequency"": ""1627201"", ""percent"": ""5.3""}, {""variable_name"": ""ARS_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1611"", ""weighted_frequency"": ""1409087"", ""percent"": ""4.6""}, {""variable_name"": ""ARS_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17112"", ""weighted_frequency"": ""27689676"", ""percent"": ""90.0""}, {""variable_name"": ""ARS_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARS_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""31"", ""weighted_frequency"": ""29220"", ""percent"": ""0.1""}]"
ARB_10,1.0,257,ARB_Q10,"Helped primary care receiver, banking - Indicator - Past 12 months","During the past 12 months, have you helped your primary care receiver with managing
his/her finances?",2 <= PAR_10 <= 99 and APR_70 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARB_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""949"", ""weighted_frequency"": ""995127"", ""percent"": ""3.2""}, {""variable_name"": ""ARB_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""212"", ""weighted_frequency"": ""203320"", ""percent"": ""0.7""}, {""variable_name"": ""ARB_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""19088"", ""weighted_frequency"": ""29542162"", ""percent"": ""96.1""}, {""variable_name"": ""ARB_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""9"", ""weighted_frequency"": ""14575"", ""percent"": ""0.0""}]"
ARB_20,1.0,258,ARB_Q20,"Helped primary care receiver, banking - Frequency","How often have you helped your primary care receiver with banking, bill paying or man-
aging finances?/How often have you helped him/her with these tasks?",APR_70 = 1 and (PAR_10 = 1 or ARB_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARB_20"", ""label"": ""Daily"", ""code"": ""1"", ""frequency"": ""278"", ""weighted_frequency"": ""256130"", ""percent"": ""0.8""}, {""variable_name"": ""ARB_20"", ""label"": ""At least once a week"", ""code"": ""2"", ""frequency"": ""915"", ""weighted_frequency"": ""853956"", ""percent"": ""2.8""}, {""variable_name"": ""ARB_20"", ""label"": ""At least once a month"", ""code"": ""3"", ""frequency"": ""981"", ""weighted_frequency"": ""888952"", ""percent"": ""2.9""}, {""variable_name"": ""ARB_20"", ""label"": ""Less than once a month"", ""code"": ""4"", ""frequency"": ""373"", ""weighted_frequency"": ""393795"", ""percent"": ""1.3""}, {""variable_name"": ""ARB_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17666"", ""weighted_frequency"": ""28317058"", ""percent"": ""92.1""}, {""variable_name"": ""ARB_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""45"", ""weighted_frequency"": ""45295"", ""percent"": ""0.1""}]"
ARB_30C,1.0,259,,"Helped primary care receiver, banking - Average number of hours",,"ARB_20 = 1, 2, 3 or 4","In an average day/week/month/occasion, how much time have you spent helping with
these tasks?","General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARB_30C"", ""label"": ""Less than 1 hour"", ""code"": ""1"", ""frequency"": ""1135"", ""weighted_frequency"": ""1108864"", ""percent"": ""3.6""}, {""variable_name"": ""ARB_30C"", ""label"": ""1 hour to less than 3 hours"", ""code"": ""2"", ""frequency"": ""1107"", ""weighted_frequency"": ""1002862"", ""percent"": ""3.3""}, {""variable_name"": ""ARB_30C"", ""label"": ""3 hours to less than 5 hours"", ""code"": ""3"", ""frequency"": ""183"", ""weighted_frequency"": ""168693"", ""percent"": ""0.5""}, {""variable_name"": ""ARB_30C"", ""label"": ""5 hours to less than 10 hours"", ""code"": ""4"", ""frequency"": ""68"", ""weighted_frequency"": ""63091"", ""percent"": ""0.2""}, {""variable_name"": ""ARB_30C"", ""label"": ""10 hours or more"", ""code"": ""5"", ""frequency"": ""37"", ""weighted_frequency"": ""33063"", ""percent"": ""0.1""}, {""variable_name"": ""ARB_30C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17711"", ""weighted_frequency"": ""28362353"", ""percent"": ""92.2""}, {""variable_name"": ""ARB_30C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_30C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_30C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""17"", ""weighted_frequency"": ""16259"", ""percent"": ""0.1""}]"
ARB_40,1.0,260,ARB_Q40,Someone else could help with banking,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",APR_70 = 1 and (PAR_10 = 1 or ARB_10 = 1),,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARB_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""963"", ""weighted_frequency"": ""1003704"", ""percent"": ""3.3""}, {""variable_name"": ""ARB_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1594"", ""weighted_frequency"": ""1399446"", ""percent"": ""4.6""}, {""variable_name"": ""ARB_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""17666"", ""weighted_frequency"": ""28317058"", ""percent"": ""92.1""}, {""variable_name"": ""ARB_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARB_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""35"", ""weighted_frequency"": ""34977"", ""percent"": ""0.1""}]"
ARV_10,1.0,261,ARV_Q10,Visited or called primary care receiver - Indicator - Past 12 months,"During the past 12 months, have you checked up on your primary care receiver by vis-
iting or calling to make sure he/she was okay?",1 <= PAR_10 <= 99 and PRD_10 NE 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARV_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""5077"", ""weighted_frequency"": ""4490614"", ""percent"": ""14.6""}, {""variable_name"": ""ARV_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""219"", ""weighted_frequency"": ""234701"", ""percent"": ""0.8""}, {""variable_name"": ""ARV_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""14907"", ""weighted_frequency"": ""25965085"", ""percent"": ""84.4""}, {""variable_name"": ""ARV_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARV_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARV_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""55"", ""weighted_frequency"": ""64784"", ""percent"": ""0.2""}]"
ARV_40,1.0,262,ARV_Q40,Someone else could visit or call primary care receiver,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",ARV_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARV_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""4183"", ""weighted_frequency"": ""3801698"", ""percent"": ""12.4""}, {""variable_name"": ""ARV_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""851"", ""weighted_frequency"": ""652905"", ""percent"": ""2.1""}, {""variable_name"": ""ARV_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""15181"", ""weighted_frequency"": ""26264570"", ""percent"": ""85.4""}, {""variable_name"": ""ARV_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARV_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARV_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""43"", ""weighted_frequency"": ""36011"", ""percent"": ""0.1""}]"
ARX_10,1.0,263,ARX_Q10,Emotionally support primary care receiver - Indicator - Past 12 mos.,"During the past 12 months, have you provided your primary care receiver with emotional
support?",1 <= PAR_10 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARX_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""6733"", ""weighted_frequency"": ""6610586"", ""percent"": ""21.5""}, {""variable_name"": ""ARX_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""657"", ""weighted_frequency"": ""778655"", ""percent"": ""2.5""}, {""variable_name"": ""ARX_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""12808"", ""weighted_frequency"": ""23274213"", ""percent"": ""75.7""}, {""variable_name"": ""ARX_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARX_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARX_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""60"", ""weighted_frequency"": ""91731"", ""percent"": ""0.3""}]"
